TF,Target,Correlation
AKR1C2,ABC13-48559800H2.2,-0.015028510450386471
AKR1C2,AANAT,0.3074529821402637
AKR1C2,ABC13-47488600E17.1,0.14320810250705787
AKR1C2,AARS2,0.29727657396965285
AKR1C2,ABCC9,0.6700901301541474
AKR1C2,ABCC1,0.3744197819295199
AKR1C2,AATF,0.38747684032539276
AKR1C2,ABCB1,0.37408987716165415
AKR1C2,AAMDC,0.8468980874567857
AHNAK,ABC14-864958H18.2,0.6816237970708086
AHNAK,ABCB7,0.4167239017022219
AHNAK,AAK1,0.6874214859492485
AHNAK,ABCD4,0.45725228038788224
